"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1081","test_hotel_list","test","Sat Feb 07 11:26:44 UTC 2026","passed","Sat Feb 07 11:26:45 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","1603","Hootel Login","test","Sat Feb 07 11:26:40 UTC 2026","passed","Sat Feb 07 11:26:41 UTC 2026","TestHootel","test_hootel","",""
