"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1084","test_hotel_list","test","Sat Feb 07 11:29:48 UTC 2026","passed","Sat Feb 07 11:29:49 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","1618","Hootel Login","test","Sat Feb 07 11:29:44 UTC 2026","passed","Sat Feb 07 11:29:46 UTC 2026","TestHootel","test_hootel","",""
