"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1085","test_hotel_list","test","Mon Jan 12 18:24:35 UTC 2026","passed","Mon Jan 12 18:24:36 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","1510","Hootel Login","test","Mon Jan 12 18:24:29 UTC 2026","passed","Mon Jan 12 18:24:30 UTC 2026","TestHootel","test_hootel","",""
